IP地址,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,原始输入,数据中心,源IP位置,地区,城市,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
45.76.178.112,443,true,0%,HTTPing,484ms,未测速,2401:c080:1400:6798:5400:6ff:fe2c:9781,IPv6,45.76.178.112,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
207.148.71.119,443,true,0%,HTTPing,486ms,未测速,2001:19f0:4400:519c:5400:6ff:fe5e:72d0,IPv6,207.148.71.119,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
138.2.108.213,443,true,0%,HTTPing,487ms,未测速,138.2.108.213,IPv4,138.2.108.213,SIN,SG,Asia Pacific,Singapore,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
5.223.70.20,8443,true,0%,HTTPing,491ms,未测速,2a01:4ff:2f0:21d5::1,IPv6,5.223.70.20,SIN,SG,Asia Pacific,Singapore,AS215859,Hetzner Online GmbH,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
13.212.126.228,443,true,0%,HTTPing,491ms,未测速,2406:da18:30a:1f02:57e2:6f28:976:20fd,IPv6,13.212.126.228,SIN,SG,Asia Pacific,Singapore,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
139.180.154.75,443,true,0%,HTTPing,492ms,未测速,2001:19f0:4400:209c:5400:6ff:fe73:e7b1,IPv6,139.180.154.75,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
195.85.19.136,443,true,0%,HTTPing,493ms,未测速,2402:a7c0:8100:a017::345:a,IPv6,195.85.19.136,SIN,SG,Asia Pacific,Singapore,AS59253,LEASEWEB SINGAPORE PTE. LTD.,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
160.187.141.134,443,true,0%,HTTPing,494ms,未测速,2401:4520:1212::a,IPv6,160.187.141.134,SIN,SG,Asia Pacific,Singapore,AS149020,WebHorizon Internet Services,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
69.161.221.236,443,true,0%,HTTPing,500ms,未测速,2402:a7c0:8100:a017::8bb:a,IPv6,69.161.221.236,SIN,SG,Asia Pacific,Singapore,AS59253,LEASEWEB SINGAPORE PTE. LTD.,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
45.77.39.192,2053,true,0%,HTTPing,505ms,未测速,2401:c080:1400:45e4:5400:6ff:fe71:8010,IPv6,45.77.39.192,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
45.127.34.59,8443,true,0%,HTTPing,506ms,未测速,2001:df4:c140:1f::525,IPv6,45.127.34.59,SIN,SG,Asia Pacific,Singapore,AS134677,Dromatics Systems Pte Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
103.25.202.25,443,true,0%,HTTPing,509ms,未测速,2400:c980:0:2:42f:32ff:fe01:120c,IPv6,103.25.202.25,SIN,SG,Asia Pacific,Singapore,AS132816,SimplerCloud Pte Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
51.79.248.128,443,true,0%,HTTPing,511ms,未测速,2402:1f00:8000:800::2aa4,IPv6,51.79.248.128,SIN,SG,Asia Pacific,Singapore,AS16276,OVH SAS,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
103.25.202.102,443,true,0%,HTTPing,512ms,未测速,2400:c980:0:2:44c:1cff:fe01:1259,IPv6,103.25.202.102,SIN,SG,Asia Pacific,Singapore,AS132816,SimplerCloud Pte Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
142.91.103.90,443,true,0%,HTTPing,515ms,未测速,2402:a7c0:3003:112:1c00:96ff:fe00:909,IPv6,142.91.103.90,SIN,SG,Asia Pacific,Singapore,AS59253,LEASEWEB SINGAPORE PTE. LTD.,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
185.81.28.39,443,true,0%,HTTPing,535ms,未测速,2a0e:97c0:7d4:5d9:4de2:1151:c39:e27f,IPv6,185.81.28.39,SIN,SG,Asia Pacific,Singapore,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
217.216.109.249,443,true,0%,HTTPing,540ms,未测速,2407:3640:2286:186::1,IPv6,217.216.109.249,SIN,SG,Asia Pacific,Singapore,AS141995,Contabo Asia Private Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
185.225.20.99,8443,true,0%,HTTPing,553ms,未测速,2a0e:97c0:7d4:6c73:becc:5bd6:6b22:540e,IPv6,185.225.20.99,SIN,SG,Asia Pacific,Singapore,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
194.233.67.84,443,true,0%,HTTPing,553ms,未测速,2407:3640:2300:3789::1,IPv6,194.233.67.84,SIN,SG,Asia Pacific,Singapore,AS141995,Contabo Asia Private Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
172.237.81.42,443,true,0%,HTTPing,557ms,未测速,2600:3c15::2000:57ff:fe6b:f984,IPv6,172.237.81.42,SIN,SG,Asia Pacific,Singapore,AS63949,Akamai Connected Cloud,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
54.169.57.101,8443,true,0%,HTTPing,557ms,未测速,2406:da18:1a:9000:2586:13e9:b4ef:d824,IPv6,54.169.57.101,SIN,SG,Asia Pacific,Singapore,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057131.000
62.146.232.232,443,true,0%,HTTPing,563ms,未测速,2407:3640:2303:4860::1,IPv6,62.146.232.232,SIN,SG,Asia Pacific,Singapore,AS141995,Contabo Asia Private Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
206.206.77.6,8443,true,0%,HTTPing,568ms,未测速,206.206.77.6,IPv4,206.206.77.6,SIN,SG,Asia Pacific,Singapore,AS215311,Regxa Company for Information Technology Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
50.7.21.174,443,true,0%,HTTPing,570ms,未测速,2001:49f0:d142:0:1e78::,IPv6,50.7.21.174,SIN,SG,Asia Pacific,Singapore,AS30058,FDCservers.net,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
109.123.232.71,8443,true,0%,HTTPing,575ms,未测速,2407:3640:2342:9013::1,IPv6,109.123.232.71,SIN,SG,Asia Pacific,Singapore,AS141995,Contabo Asia Private Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
172.237.81.164,443,true,0%,HTTPing,583ms,未测速,2600:3c15::2000:a9ff:feca:30e7,IPv6,172.237.81.164,SIN,SG,Asia Pacific,Singapore,AS63949,Akamai Connected Cloud,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
